transaction_id,user_id,date,description,amount,transaction_type,category,merchant
84,1,2025-04-29,Dominos Pizza,694.99,expense,Food,Dominos Pizza
85,1,2025-05-01,Starbucks Coffee,478.3,expense,Food,Starbucks Coffee
86,1,2025-05-02,Apollo Pharmacy,787.74,expense,Health,Apollo Pharmacy
87,1,2025-05-02,Salary credited,31196.81,income,Income,Employer/Institute
88,1,2025-05-04,Flipkart order - MG Road,4905.27,expense,Shopping,Flipkart order
89,1,2025-05-05,IndiGo flight booking,4962.59,expense,Transport,IndiGo flight booking
90,1,2025-05-05,Barbeque Nation dinner,2478.14,expense,Food,Barbeque Nation dinner
91,1,2025-05-06,LPG cylinder booking,884.87,expense,Bills,LPG cylinder booking
92,1,2025-05-07,Chai/tea stall,33.13,expense,Food,Chai/tea stall
93,1,2025-05-07,Ajio order,1116.74,expense,Shopping,Ajio order
94,1,2025-05-08,Library fine/fee,48.87,expense,Education,Library fine/fee
95,1,2025-05-08,Croma electronics,8168.81,expense,Shopping,Croma electronics
96,1,2025-05-13,Myntra fashion order,467.11,expense,Shopping,Myntra fashion order
97,1,2025-05-14,ACT Fibernet broadband bill,1098.28,expense,Bills,ACT Fibernet broadband bill
98,1,2025-05-14,Udemy course purchase,3382.59,expense,Education,Udemy course purchase
99,1,2025-05-15,Barbeque Nation dinner,1339.93,expense,Food,Barbeque Nation dinner
100,1,2025-05-16,Swiggy order - campus,153.69,expense,Food,Swiggy order
101,1,2025-05-17,Library fine/fee,84.37,expense,Education,Library fine/fee
102,1,2025-05-19,Local tiffin service,77.53,expense,Food,Local tiffin service
103,1,2025-05-19,IndiGo flight booking,6765.05,expense,Transport,IndiGo flight booking
104,1,2025-05-21,Barbeque Nation dinner,1536.72,expense,Food,Barbeque Nation dinner
105,1,2025-05-22,Local tiffin service,112.29,expense,Food,Local tiffin service
106,1,2025-05-23,Spotify Premium,161.48,expense,Entertainment,Spotify Premium
107,1,2025-05-23,Ola cab,364.18,expense,Transport,Ola cab
108,1,2025-05-23,IRCTC train ticket,1189.97,expense,Transport,IRCTC train ticket
109,1,2025-05-26,Amazon books order,448.54,expense,Education,Amazon books order
110,1,2025-05-31,Apollo Pharmacy,92.67,expense,Health,Apollo Pharmacy
111,1,2025-06-02,Myntra fashion order,2921.07,expense,Shopping,Myntra fashion order
112,1,2025-06-03,LPG cylinder booking,907.2,expense,Bills,LPG cylinder booking
113,1,2025-06-03,Water bill payment,558.72,expense,Bills,Water bill payment
114,1,2025-06-04,Salary credited,31550.24,income,Income,Employer/Institute
115,1,2025-06-05,BESCOM electricity bill,1609.84,expense,Bills,BESCOM electricity bill
116,1,2025-06-07,Campus mess bill,2817.73,expense,Food,Campus mess bill
117,1,2025-06-09,Netflix subscription,305.76,expense,Entertainment,Netflix subscription
118,1,2025-06-10,BookMyShow movie ticket,818.79,expense,Entertainment,BookMyShow movie ticket
119,1,2025-06-10,Barbeque Nation dinner,943.21,expense,Food,Barbeque Nation dinner
120,1,2025-06-17,IndiGo flight booking,6992.77,expense,Transport,IndiGo flight booking
121,1,2025-06-19,LPG cylinder booking,1092.95,expense,Bills,LPG cylinder booking
122,1,2025-06-19,Local mall shopping,1475.26,expense,Shopping,Local mall shopping
123,1,2025-06-20,Barbeque Nation dinner,1768.27,expense,Food,Barbeque Nation dinner
124,1,2025-06-26,Zomato order - UPI,681.95,expense,Food,Zomato order
125,1,2025-06-26,Local tiffin service,89.83,expense,Food,Local tiffin service
126,1,2025-06-26,Croma electronics,14533.13,expense,Shopping,Croma electronics
127,1,2025-06-29,BigBasket grocery order,2097.24,expense,Food,BigBasket grocery order
128,1,2025-07-01,Local tiffin service,71.92,expense,Food,Local tiffin service
129,1,2025-07-01,Ola cab,256.57,expense,Transport,Ola cab
130,1,2025-07-05,Coaching institute fee,6301.03,expense,Education,Coaching institute fee
131,1,2025-07-05,Salary credited,34462.69,income,Income,Employer/Institute
132,1,2025-07-06,Airtel postpaid bill,440.18,expense,Bills,Airtel postpaid bill
133,1,2025-07-08,Myntra fashion order,1027.18,expense,Shopping,Myntra fashion order
134,1,2025-07-08,Parking fee,54.25,expense,Transport,Parking fee
135,1,2025-07-11,Courier/shipping charge,124.59,expense,Other,Courier/shipping charge
136,1,2025-07-14,Apollo Pharmacy,510.3,expense,Health,Apollo Pharmacy
137,1,2025-07-14,Chai/tea stall,36.92,expense,Food,Chai/tea stall
138,1,2025-07-14,Starbucks Coffee,234.95,expense,Food,Starbucks Coffee
139,1,2025-07-15,Hostel/room rent,6781.38,expense,Bills,Hostel/room rent
140,1,2025-07-15,Ola cab,136.75,expense,Transport,Ola cab
141,1,2025-07-16,Barbeque Nation dinner,969.32,expense,Food,Barbeque Nation dinner
142,1,2025-07-19,Local tiffin service,74.51,expense,Food,Local tiffin service
143,1,2025-07-23,Hostel/room rent,11971.93,expense,Bills,Hostel/room rent
144,1,2025-07-24,Starbucks Coffee,195.38,expense,Food,Starbucks Coffee
145,1,2025-07-24,McDonalds,305.64,expense,Food,McDonalds
146,1,2025-07-24,Bus pass recharge,518.18,expense,Transport,Bus pass recharge
147,1,2025-07-25,Swiggy order - UPI,536.14,expense,Food,Swiggy order
148,1,2025-07-26,McDonalds,318.38,expense,Food,McDonalds
149,1,2025-07-27,Tata Play DTH recharge,421.03,expense,Bills,Tata Play DTH recharge
150,1,2025-07-28,Local tiffin service,93.31,expense,Food,Local tiffin service
151,1,2025-07-29,Local mall shopping,1338.47,expense,Shopping,Local mall shopping
152,1,2025-07-31,Miscellaneous expense,55.21,expense,Other,Miscellaneous expense
153,1,2025-08-01,IndiGo flight booking,5148.25,expense,Transport,IndiGo flight booking
154,1,2025-08-03,YouTube Premium,166.99,expense,Entertainment,YouTube Premium
155,1,2025-08-04,YouTube Premium,129.55,expense,Entertainment,YouTube Premium
156,1,2025-08-05,Cafe Coffee Day,220.06,expense,Food,Cafe Coffee Day
157,1,2025-08-05,Salary credited,32882.65,income,Income,Employer/Institute
158,1,2025-08-06,Water bill payment,454.9,expense,Bills,Water bill payment
159,1,2025-08-07,Health insurance premium,4320.41,expense,Health,Health insurance premium
160,1,2025-08-08,Parking fee,33.64,expense,Transport,Parking fee
161,1,2025-08-12,Spotify Premium,137.05,expense,Entertainment,Spotify Premium
162,1,2025-08-14,Flipkart order - wallet,4827.23,expense,Shopping,Flipkart order
163,1,2025-08-17,Health insurance premium,7620.38,expense,Health,Health insurance premium
164,1,2025-08-18,Society maintenance charge,1866.29,expense,Bills,Society maintenance charge
165,1,2025-08-20,Croma electronics,6440.87,expense,Shopping,Croma electronics
166,1,2025-08-21,Rapido bike taxi,140.03,expense,Transport,Rapido bike taxi
167,1,2025-08-21,Library fine/fee,60.43,expense,Education,Library fine/fee
168,1,2025-08-22,Water bill payment,294.35,expense,Bills,Water bill payment
169,1,2025-08-22,Udemy course purchase,1101.14,expense,Education,Udemy course purchase
170,1,2025-08-23,Tata Play DTH recharge,315.71,expense,Bills,Tata Play DTH recharge
171,1,2025-08-24,BESCOM electricity bill,1898.4,expense,Bills,BESCOM electricity bill
172,1,2025-08-25,Jio mobile recharge,220.52,expense,Bills,Jio mobile recharge
173,1,2025-08-27,ACT Fibernet broadband bill,965.35,expense,Bills,ACT Fibernet broadband bill
174,1,2025-08-29,Library fine/fee,63.89,expense,Education,Library fine/fee
175,1,2025-08-29,Ola cab,129.57,expense,Transport,Ola cab
176,1,2025-08-31,Ajio order,2570.48,expense,Shopping,Ajio order
177,1,2025-09-01,McDonalds,400.59,expense,Food,McDonalds
178,1,2025-09-01,Stationery/printouts,98.13,expense,Education,Stationery/printouts
179,1,2025-09-01,Amusement park entry,1697.84,expense,Entertainment,Amusement park entry
180,1,2025-09-01,Salary credited,33863.73,income,Income,Employer/Institute
181,1,2025-09-02,Chai/tea stall,24.17,expense,Food,Chai/tea stall
182,1,2025-09-04,BigBasket grocery order,1521.94,expense,Food,BigBasket grocery order
183,1,2025-09-05,Health insurance premium,6768.87,expense,Health,Health insurance premium
184,1,2025-09-06,Udemy course purchase,3172.96,expense,Education,Udemy course purchase
185,1,2025-09-16,McDonalds,196.81,expense,Food,McDonalds
186,1,2025-09-16,Tata Play DTH recharge,704.06,expense,Bills,Tata Play DTH recharge
187,1,2025-09-17,Miscellaneous expense,546.89,expense,Other,Miscellaneous expense
188,1,2025-09-17,McDonalds,302.57,expense,Food,McDonalds
189,1,2025-09-18,Dominos Pizza,868.33,expense,Food,Dominos Pizza
190,1,2025-09-21,Tata Play DTH recharge,616.15,expense,Bills,Tata Play DTH recharge
191,1,2025-09-23,Barbeque Nation dinner,928.2,expense,Food,Barbeque Nation dinner
192,1,2025-09-24,Cult.fit gym membership,1225.95,expense,Health,Cult.fit gym membership
193,1,2025-09-25,Dominos Pizza,834.23,expense,Food,Dominos Pizza
194,1,2025-09-28,Society maintenance charge,2431.62,expense,Bills,Society maintenance charge
195,1,2025-09-29,Ajio order,618.21,expense,Shopping,Ajio order
196,1,2025-09-30,Cult.fit gym membership,1186.35,expense,Health,Cult.fit gym membership
197,1,2025-10-02,Auto fare,95.61,expense,Transport,Auto fare
198,1,2025-10-03,Bus pass recharge,664.53,expense,Transport,Bus pass recharge
199,1,2025-10-03,Ajio order,1480.53,expense,Shopping,Ajio order
200,1,2025-10-03,Salary credited,31346.33,income,Income,Employer/Institute
201,1,2025-10-04,Cafe Coffee Day,176.65,expense,Food,Cafe Coffee Day
202,1,2025-10-04,Metro card recharge,203.18,expense,Transport,Metro card recharge
203,1,2025-10-07,Amusement park entry,669.7,expense,Entertainment,Amusement park entry
204,1,2025-10-09,BigBasket grocery order,2059.37,expense,Food,BigBasket grocery order
205,1,2025-10-09,Ajio order,1155.91,expense,Shopping,Ajio order
206,1,2025-10-09,Local mall shopping,3872.67,expense,Shopping,Local mall shopping
207,1,2025-10-11,Parking fee,86.3,expense,Transport,Parking fee
208,1,2025-10-11,Ola cab,203.0,expense,Transport,Ola cab
209,1,2025-10-11,Indian Oil petrol,546.32,expense,Transport,Indian Oil petrol
210,1,2025-10-11,Monthly stipend credited,7944.49,income,Income,Monthly stipend credited
211,1,2025-10-12,PVR Cinemas,1060.84,expense,Entertainment,PVR Cinemas
212,1,2025-10-17,Water bill payment,405.74,expense,Bills,Water bill payment
213,1,2025-10-18,Auto fare,47.97,expense,Transport,Auto fare
214,1,2025-10-18,McDonalds,431.85,expense,Food,McDonalds
215,1,2025-10-22,Local mall shopping,1152.81,expense,Shopping,Local mall shopping
216,1,2025-10-22,Swiggy order - wallet,292.46,expense,Food,Swiggy order
217,1,2025-10-23,ACT Fibernet broadband bill,926.28,expense,Bills,ACT Fibernet broadband bill
218,1,2025-10-23,Steam game purchase,425.74,expense,Entertainment,Steam game purchase
219,1,2025-10-24,Uber ride,315.9,expense,Transport,Uber ride
220,1,2025-10-24,IRCTC train ticket,1430.51,expense,Transport,IRCTC train ticket
221,1,2025-10-26,Cafe Coffee Day,270.23,expense,Food,Cafe Coffee Day
222,1,2025-10-26,ACT Fibernet broadband bill,1426.26,expense,Bills,ACT Fibernet broadband bill
223,1,2025-10-29,Decathlon sports gear,2465.31,expense,Shopping,Decathlon sports gear
224,1,2025-10-31,Hostel/room rent,12239.0,expense,Bills,Hostel/room rent
225,1,2025-10-31,Ajio order,1480.44,expense,Shopping,Ajio order
226,1,2025-11-01,Apollo Pharmacy,703.84,expense,Health,Apollo Pharmacy
227,1,2025-11-01,LPG cylinder booking,893.59,expense,Bills,LPG cylinder booking
228,1,2025-11-02,Salary credited,31657.43,income,Income,Employer/Institute
229,1,2025-11-05,LPG cylinder booking,934.76,expense,Bills,LPG cylinder booking
230,1,2025-11-06,Starbucks Coffee,234.82,expense,Food,Starbucks Coffee
231,1,2025-11-07,DMart grocery shopping,478.31,expense,Food,DMart grocery shopping
232,1,2025-11-08,Ola cab,328.62,expense,Transport,Ola cab
233,1,2025-11-08,Bus pass recharge,612.04,expense,Transport,Bus pass recharge
234,1,2025-11-09,Steam game purchase,630.91,expense,Entertainment,Steam game purchase
235,1,2025-11-10,IndiGo flight booking,5954.69,expense,Transport,IndiGo flight booking
236,1,2025-11-12,Gift purchase,1651.62,expense,Other,Gift purchase
237,1,2025-11-14,BESCOM electricity bill,1288.83,expense,Bills,BESCOM electricity bill
238,1,2025-11-14,Dr Lal PathLabs test,2117.83,expense,Health,Dr Lal PathLabs test
239,1,2025-11-15,Doctor consultation fee,1098.38,expense,Health,Doctor consultation fee
240,1,2025-11-17,Library fine/fee,60.52,expense,Education,Library fine/fee
241,1,2025-11-18,Coursera subscription,3424.19,expense,Education,Coursera subscription
242,1,2025-11-22,Myntra fashion order,3124.4,expense,Shopping,Myntra fashion order
243,1,2025-11-23,Scholarship credited,35534.1,income,Income,Scholarship credited
244,1,2025-11-26,Hostel/room rent,10739.32,expense,Bills,Hostel/room rent
245,1,2025-12-02,Flipkart order - online,3174.92,expense,Shopping,Flipkart order
246,1,2025-12-05,Zomato order - Bangalore,210.04,expense,Food,Zomato order
247,1,2025-12-05,Bus pass recharge,495.11,expense,Transport,Bus pass recharge
248,1,2025-12-05,Salary credited,30926.59,income,Income,Employer/Institute
249,1,2025-12-07,Local tiffin service,89.37,expense,Food,Local tiffin service
250,1,2025-12-08,BigBasket grocery order,1561.31,expense,Food,BigBasket grocery order
251,1,2025-12-09,Myntra fashion order,793.73,expense,Shopping,Myntra fashion order
252,1,2025-12-09,Dr Lal PathLabs test,1276.56,expense,Health,Dr Lal PathLabs test
253,1,2025-12-10,Auto fare,56.21,expense,Transport,Auto fare
254,1,2025-12-11,Doctor consultation fee,782.2,expense,Health,Doctor consultation fee
255,1,2025-12-16,Water bill payment,204.92,expense,Bills,Water bill payment
256,1,2025-12-16,Coursera subscription,1682.81,expense,Education,Coursera subscription
257,1,2025-12-17,Spotify Premium,158.46,expense,Entertainment,Spotify Premium
258,1,2025-12-19,Courier/shipping charge,135.25,expense,Other,Courier/shipping charge
259,1,2025-12-20,Flipkart order - weekend,1220.12,expense,Shopping,Flipkart order
260,1,2025-12-23,Exam registration fee,686.21,expense,Education,Exam registration fee
261,1,2025-12-24,Freelance project payment,8624.31,income,Income,Freelance project payment
262,1,2025-12-26,Parking fee,71.64,expense,Transport,Parking fee
263,1,2025-12-27,DMart grocery shopping,945.06,expense,Food,DMart grocery shopping
264,1,2025-12-28,Steam game purchase,1816.35,expense,Entertainment,Steam game purchase
265,1,2025-12-28,Rapido bike taxi,129.89,expense,Transport,Rapido bike taxi
266,1,2025-12-29,Coaching institute fee,12861.95,expense,Education,Coaching institute fee
267,2,2025-01-01,Salary credited,12665.11,income,Income,Employer/Institute
268,2,2025-01-02,Jio mobile recharge,398.55,expense,Bills,Jio mobile recharge
269,2,2025-01-04,Amazon books order,310.31,expense,Education,Amazon books order
270,2,2025-01-04,Ola cab,437.55,expense,Transport,Ola cab
271,2,2025-01-08,Decathlon sports gear,2194.37,expense,Shopping,Decathlon sports gear
272,2,2025-01-08,Local tiffin service,97.74,expense,Food,Local tiffin service
273,2,2025-01-12,Tata Play DTH recharge,494.08,expense,Bills,Tata Play DTH recharge
274,2,2025-01-13,Society maintenance charge,1707.66,expense,Bills,Society maintenance charge
275,2,2025-01-14,LPG cylinder booking,989.6,expense,Bills,LPG cylinder booking
276,2,2025-01-15,Tata Play DTH recharge,512.11,expense,Bills,Tata Play DTH recharge
277,2,2025-01-17,Myntra fashion order,1600.61,expense,Shopping,Myntra fashion order
278,2,2025-01-18,BigBasket grocery order,432.8,expense,Food,BigBasket grocery order
279,2,2025-01-21,Health insurance premium,5255.87,expense,Health,Health insurance premium
280,2,2025-01-22,Croma electronics,12515.34,expense,Shopping,Croma electronics
281,2,2025-01-23,IRCTC train ticket,1730.04,expense,Transport,IRCTC train ticket
282,2,2025-01-23,Chai/tea stall,32.57,expense,Food,Chai/tea stall
283,2,2025-01-26,BESCOM electricity bill,976.09,expense,Bills,BESCOM electricity bill
284,2,2025-01-26,Chai/tea stall,32.38,expense,Food,Chai/tea stall
285,2,2025-01-27,IRCTC train ticket,824.5,expense,Transport,IRCTC train ticket
286,2,2025-01-29,Croma electronics,1169.17,expense,Shopping,Croma electronics
287,2,2025-01-29,Health insurance premium,5216.58,expense,Health,Health insurance premium
288,2,2025-01-31,Health insurance premium,2509.03,expense,Health,Health insurance premium
289,2,2025-02-02,Local mall shopping,1526.24,expense,Shopping,Local mall shopping
290,2,2025-02-03,Salary credited,12932.52,income,Income,Employer/Institute
291,2,2025-02-04,IndiGo flight booking,7431.05,expense,Transport,IndiGo flight booking
292,2,2025-02-05,Doctor consultation fee,650.28,expense,Health,Doctor consultation fee
293,2,2025-02-09,Dominos Pizza,869.25,expense,Food,Dominos Pizza
294,2,2025-02-10,LPG cylinder booking,861.36,expense,Bills,LPG cylinder booking
295,2,2025-02-11,Society maintenance charge,1876.05,expense,Bills,Society maintenance charge
296,2,2025-02-11,Freelance project payment,2336.55,income,Income,Freelance project payment
297,2,2025-02-15,Cult.fit gym membership,2167.63,expense,Health,Cult.fit gym membership
298,2,2025-02-16,BESCOM electricity bill,1440.9,expense,Bills,BESCOM electricity bill
299,2,2025-02-16,Society maintenance charge,1267.23,expense,Bills,Society maintenance charge
300,2,2025-02-16,Jio mobile recharge,229.28,expense,Bills,Jio mobile recharge
301,2,2025-02-16,Charity donation,1670.27,expense,Other,Charity donation
302,2,2025-02-16,BookMyShow movie ticket,517.44,expense,Entertainment,BookMyShow movie ticket
303,2,2025-02-16,Library fine/fee,41.14,expense,Education,Library fine/fee
304,2,2025-02-20,PVR Cinemas,652.45,expense,Entertainment,PVR Cinemas
305,2,2025-02-20,Flipkart order - UPI,3984.99,expense,Shopping,Flipkart order
306,2,2025-02-21,Gift purchase,769.78,expense,Other,Gift purchase
307,2,2025-02-21,Coaching institute fee,12119.45,expense,Education,Coaching institute fee
308,2,2025-02-21,Amusement park entry,807.84,expense,Entertainment,Amusement park entry
309,2,2025-02-22,Doctor consultation fee,549.64,expense,Health,Doctor consultation fee
310,2,2025-02-24,Charity donation,1886.44,expense,Other,Charity donation
311,2,2025-02-25,Metro card recharge,421.39,expense,Transport,Metro card recharge
312,2,2025-02-26,Jio mobile recharge,956.55,expense,Bills,Jio mobile recharge
313,2,2025-02-28,Spotify Premium,167.87,expense,Entertainment,Spotify Premium
314,2,2025-02-28,Tata Play DTH recharge,647.87,expense,Bills,Tata Play DTH recharge
315,2,2025-03-01,IRCTC train ticket,1785.28,expense,Transport,IRCTC train ticket
316,2,2025-03-01,Salary credited,12187.1,income,Income,Employer/Institute
317,2,2025-03-04,Coaching institute fee,19521.83,expense,Education,Coaching institute fee
318,2,2025-03-06,Doctor consultation fee,1105.97,expense,Health,Doctor consultation fee
319,2,2025-03-08,Dominos Pizza,490.59,expense,Food,Dominos Pizza
320,2,2025-03-09,BESCOM electricity bill,2111.09,expense,Bills,BESCOM electricity bill
321,2,2025-03-11,Exam registration fee,2171.96,expense,Education,Exam registration fee
322,2,2025-03-14,Starbucks Coffee,400.99,expense,Food,Starbucks Coffee
323,2,2025-03-14,Water bill payment,155.11,expense,Bills,Water bill payment
324,2,2025-03-18,Savings account interest credited,439.73,income,Income,Savings account interest credited
325,2,2025-03-19,Courier/shipping charge,199.05,expense,Other,Courier/shipping charge
326,2,2025-03-20,Stationery/printouts,144.79,expense,Education,Stationery/printouts
327,2,2025-03-21,BESCOM electricity bill,1568.58,expense,Bills,BESCOM electricity bill
328,2,2025-03-22,Myntra fashion order,731.81,expense,Shopping,Myntra fashion order
329,2,2025-03-23,Dental clinic visit,1790.75,expense,Health,Dental clinic visit
330,2,2025-03-24,Ola cab,230.47,expense,Transport,Ola cab
331,2,2025-03-26,Myntra fashion order,2765.5,expense,Shopping,Myntra fashion order
332,2,2025-03-29,Jio mobile recharge,187.51,expense,Bills,Jio mobile recharge
333,2,2025-03-29,Myntra fashion order,1672.17,expense,Shopping,Myntra fashion order
334,2,2025-03-30,McDonalds,257.85,expense,Food,McDonalds
335,2,2025-03-30,McDonalds,206.44,expense,Food,McDonalds
336,2,2025-03-31,Decathlon sports gear,1618.78,expense,Shopping,Decathlon sports gear
337,2,2025-04-01,Water bill payment,358.66,expense,Bills,Water bill payment
338,2,2025-04-02,Salary credited,11461.06,income,Income,Employer/Institute
339,2,2025-04-05,Myntra fashion order,1958.6,expense,Shopping,Myntra fashion order
340,2,2025-04-07,Library fine/fee,105.83,expense,Education,Library fine/fee
341,2,2025-04-08,Flipkart order - campus,5015.11,expense,Shopping,Flipkart order
342,2,2025-04-08,Starbucks Coffee,351.79,expense,Food,Starbucks Coffee
343,2,2025-04-12,Myntra fashion order,2039.76,expense,Shopping,Myntra fashion order
344,2,2025-04-17,ATM cash withdrawal,3636.57,expense,Other,ATM cash withdrawal
345,2,2025-04-17,Health insurance premium,2065.03,expense,Health,Health insurance premium
346,2,2025-04-19,Starbucks Coffee,509.76,expense,Food,Starbucks Coffee
347,2,2025-04-21,Exam registration fee,1736.44,expense,Education,Exam registration fee
348,2,2025-04-21,Myntra fashion order,1449.01,expense,Shopping,Myntra fashion order
349,2,2025-04-23,BESCOM electricity bill,2133.8,expense,Bills,BESCOM electricity bill
